"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C11,C12","3","4.7uF","","","","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A_HandSolder","~"
"C2,C19","2","47uF","","","","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~"
"C3,C5","2","4700uF","","","","Capacitor_THT:CP_Radial_D25.0mm_P10.00mm_SnapIn","~"
"C4,C6","2","2200uF","","","","Capacitor_THT:CP_Radial_D22.0mm_P10.00mm_SnapIn","~"
"C7,C9","2","22uF","","","","Capacitor_SMD:CP_Elec_4x3.9","~"
"C8,C10,C13,C18,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41","14","10nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C14,C17","2","330nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C15,C16,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C42,C43,C45,C48,C50,C51,C52","21","100nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C44","1","1000uF","","","","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~"
"C46","1","100nF","","","","Capacitor_THT:C_Axial_L12.0mm_D6.5mm_P15.00mm_Horizontal",""
"C47,C49","2","4.7uF","","","","Capacitor_Tantalum_SMD:CP_EIA-6032-28_Kemet-C_HandSolder","~"
"C53","1","22nF","","","","Capacitor_THT:C_Rect_L11.0mm_W4.3mm_P10.00mm_MKT",""
"D1,D2,D4,D5,D7,D9,D13,D14,D16,D19,D21,D22,D24,D25,D33,D34,D36,D37,D38,D39","20","1N4148WT","","","","Diode_SMD:D_SOD-123","https://www.diodes.com/assets/Datasheets/ds30396.pdf"
"D3,D8","2","Red","","","Excluded from board","","~"
"D6,D29,D30,D32","4","S1G","","","","Diode_SMD:D_SMA","https://www.onsemi.com/pub/Collateral/US2AA-D.PDF"
"D10,D23","2","Yellow","","","Excluded from board","","~"
"D11,D12","2","GBU4A","","","","Diode_THT:Diode_Bridge_Vishay_GBU","http://www.vishay.com/docs/88656/gbu4a.pdf"
"D15,D17","2","27V","","","","Diode_SMD:D_SOD-123","~"
"D27","1","DF02S","","","","Diode_SMD:Diode_Bridge_OnSemi_SDIP-4L","https://www.onsemi.com/download/data-sheet/pdf/df10s-d.pdf"
