pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
168.89,-51.75,-90.0,top,C1,,,CP_EIA-3216-18_Kemet-A_HandSolder,4.7uF,smt
68.82,-141.41,-90.0,top,C10,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10nF,smt
177.66,-101.58,0.0,top,C11,,,CP_EIA-3216-18_Kemet-A_HandSolder,4.7uF,smt
151.2175,-90.685,90.0,top,C12,,,CP_EIA-3216-18_Kemet-A_HandSolder,4.7uF,smt
62.3275,-82.4,0.0,top,C13,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10nF,smt
96.09,-140.73125,90.0,top,C14,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,330nF,smt
84.6,-132.08,-90.0,top,C15,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
166.7175,-75.38,0.0,top,C16,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
170.8975,-75.38,180.0,top,C17,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,330nF,smt
73.27,-119.87,0.0,top,C18,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10nF,smt
184.817621,-103.73,0.0,top,C19,,,CP_Radial_D6.3mm_P2.50mm,47uF,tht
187.01238,-91.18,180.0,top,C2,,,CP_Radial_D6.3mm_P2.50mm,47uF,tht
154.69,-78.68,0.0,top,C20,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
111.1,-79.05,0.0,top,C21,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
157.9075,-90.065,-90.0,top,C22,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
121.56,-90.28,-90.0,top,C23,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
99.9125,-107.79,0.0,top,C24,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
173.4325,-87.96,180.0,top,C25,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
102.4925,-117.73,0.0,top,C26,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
180.92,-95.2525,90.0,top,C27,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
179.53,-55.59,0.0,top,C28,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
173.54,-43.6,180.0,top,C29,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
110.24,-59.705371,90.0,top,C3,,,CP_Radial_D25.0mm_P10.00mm_SnapIn,4700uF,tht
179.49,-53.49,0.0,top,C30,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
180.9025,-62.63,0.0,top,C31,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
69.3375,-61.38,180.0,top,C32,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10nF,smt
